"","codeid","fullname","eppocode"
"267",40412,"Pistacia lentiscus","PIALE"
"268",40416,"Pisum sativum subsp. arvense","PIBSA"
"269",40417,"Pisum sativum subsp. elatius","PIBSE"
"270",40418,"Pisum sativum subsp. sativum convar. medullare","PIBSM"
"271",40420,"Pisum sativum var. sativum","PIBST"
"272",63166,"Pisum sativum subsp. sativum convar. axiphium","PIBSZ"
"273",40469,"Picea smithiana","PIESM"
"274",40585,"Pinus cembroides","PIUCM"
"275",40592,"Pinus edulis","PIUED"
"276",40615,"Pinus monophylla","PIUMP"
"277",40640,"Pinus radiata","PIURA"
"278",40644,"Pinus roxburghii","PIURO"
"279",40757,"Plantago decipiens","PLADE"
"280",40763,"Plantago indica","PLAIN"
